City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Port Arthur,CN,38.8,121.2667,73.62,96,94,7.23,overcast clouds
289,Kulevcha,UA,46.0303,29.9361,66.58,49,100,10.65,overcast clouds
290,Tynda,RU,55.1667,124.7167,58.08,98,100,1.99,light rain
291,Xinyu,CN,27.8043,114.9334,80.94,76,100,3.09,overcast clouds
292,Bengkulu,ID,-3.8004,102.2655,76.46,90,100,2.98,overcast clouds
293,Awash,ET,8.9833,40.1667,82.36,45,100,6.64,overcast clouds
294,Skegness,GB,53.1436,0.3363,67.01,67,100,9.71,overcast clouds
295,Zimmi,SL,7.3153,-11.3061,73.89,96,36,4.05,light rain
296,Wakkanai,JP,45.4094,141.6739,59.45,94,100,18.9,moderate rain
297,Neiafu,TO,-18.65,-173.9833,79.48,94,40,11.5,scattered clouds
298,Saint-Louis,SN,16.3333,-15.0,94.64,31,5,14.18,clear sky
299,Hay River,CA,60.8156,-115.7999,71.56,37,75,8.05,broken clouds
300,Chokurdakh,RU,70.6333,147.9167,38.84,85,100,13.02,overcast clouds
301,Kargil,IN,34.5667,76.1,56.64,58,98,5.41,overcast clouds
302,Orotukan,RU,62.2667,151.7,69.55,75,0,4.72,clear sky
303,Mersin,TR,36.862,34.6509,80.67,70,0,2.08,clear sky
304,Lively,CA,46.4334,-81.1498,72.52,35,100,5.68,overcast clouds
305,Palasbari,IN,26.1361,91.5486,80.65,89,75,3.44,mist
306,Sweetwater,US,25.7634,-80.3731,95.0,66,40,13.8,scattered clouds
307,Griffith,US,41.5284,-87.4237,83.08,70,75,11.5,broken clouds
308,Santa Maria,BR,-29.6842,-53.8069,58.3,67,0,10.36,clear sky
309,Kautokeino,NO,69.0125,23.0412,62.62,75,100,8.57,overcast clouds
310,Mashhad,IR,36.297,59.6062,78.94,36,0,9.22,clear sky
311,Bereda,ES,43.2686,-7.5406,84.15,71,96,1.81,overcast clouds
312,Novoagansk,RU,61.9449,76.6625,56.44,57,100,1.72,overcast clouds
313,Isangel,VU,-19.55,169.2667,77.32,88,4,13.76,clear sky
314,Walvis Bay,NA,-22.9575,14.5053,58.15,77,0,2.3,clear sky
315,Pangoa,PE,-12.1167,-73.0,79.88,65,8,2.39,clear sky
316,Dingle,PH,10.9995,122.6711,75.7,92,24,1.61,few clouds
317,Syracuse,IT,37.0881,15.2792,80.19,66,45,6.49,scattered clouds
318,Cherskiy,RU,68.75,161.3,47.1,54,58,12.73,broken clouds
319,Omboue,GA,-1.5746,9.2618,72.03,83,1,8.34,clear sky
320,Sarangani,PH,5.4033,125.4636,79.0,85,100,5.32,overcast clouds
321,Verkhnevilyuysk,RU,63.4453,120.3167,60.28,97,97,3.65,light rain
322,Axim,GH,4.8699,-2.2405,75.72,84,99,8.16,overcast clouds
323,Laon,FR,49.5667,3.6667,83.03,32,0,11.63,clear sky
324,Metro,ID,-5.1131,105.3067,75.76,92,100,4.34,overcast clouds
325,Kikwit,CD,-5.041,18.8162,80.1,26,62,2.84,broken clouds
326,Sept-Iles,CA,50.2001,-66.3821,70.32,54,75,10.36,broken clouds
327,Marawi,PH,7.9986,124.2928,67.96,93,39,1.68,scattered clouds
328,Grand Gaube,MU,-20.0064,57.6608,68.4,77,74,7.0,light rain
329,Broken Hill,AU,-31.95,141.4333,39.67,86,0,7.61,clear sky
330,Ahipara,NZ,-35.1667,173.1667,54.95,92,100,3.76,light rain
331,Airai,TL,-8.9266,125.4092,52.54,88,64,2.64,broken clouds
332,Mount Isa,AU,-20.7333,139.5,51.57,46,0,11.5,clear sky
333,Sibi,PK,29.5448,67.8764,98.49,41,21,12.68,few clouds
334,Jiazi,CN,22.8779,116.067,81.66,83,65,6.11,broken clouds
335,Monrovia,LR,6.3005,-10.7969,76.8,85,99,13.13,light rain
336,Porto Nacional,BR,-10.7081,-48.4172,93.2,23,29,5.23,scattered clouds
337,Ostrovnoy,RU,68.0531,39.5131,59.25,99,96,5.46,light rain
338,Kholtoson,RU,50.2981,103.3097,56.3,82,100,2.39,overcast clouds
339,Hovd,MN,48.0056,91.6419,55.24,70,4,2.89,clear sky
340,Trat,TH,12.5,102.5,77.92,96,100,5.66,overcast clouds
341,College,US,64.8569,-147.8028,58.59,83,75,8.05,smoke
342,Ca Mau,VN,9.1769,105.15,74.89,95,100,5.7,heavy intensity rain
343,Finschhafen,PG,-6.6024,147.8681,79.12,79,10,6.69,clear sky
344,Lompoc,US,34.6391,-120.4579,86.02,71,0,9.22,clear sky
345,Paamiut,GL,61.994,-49.6678,43.07,85,90,17.52,overcast clouds
346,Luanda,AO,-8.8368,13.2343,68.76,92,5,13.13,clear sky
347,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,68,35,17.36,scattered clouds
348,Linqiong,CN,30.4159,103.4609,78.62,94,100,1.92,overcast clouds
